malware,class,_llseek,accept,access,bind,brk,capget,chmod,chown32,clock_gettime,clone,close,connect,dup,dup2,epoll_create,epoll_ctl,epoll_wait,error,execve,exit,exit_group,fchmod,fchown32,fcntl64,fdatasync,flock,fork,fstat64,fsync,ftruncate,ftruncate64,futex,getdents64,getegid32,geteuid32,getgid32,getpid,getppid,getpriority,getresgid32,getresuid32,getrlimit,getsockname,getsockopt,gettid,gettimeofday,getuid,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mount,mprotect,mremap,munmap,nanosleep,open,pipe,poll,prctl,pread,pwrite,read,readlink,recv,recvfrom,rename,restart_syscall,rmdir,rt_sigreturn,rt_sigtimedwait,sched_getparam,sched_getscheduler,sched_yield,select,setgid32,setgroups32,setpgid,setpriority,setregid32,setresgid32,setresuid32,setreuid32,setsid,setsockopt,setuid32,shutdown,sigaction,sigprocmask,sigreturn,socket,socketpair,stat64,statfs64,sync,syscall_983042,syscall_983045,tgkill,umask,uname,unlink,utimes,vfork,wait4,write,writev
Clean18,N,0,0,311,34,0,0,7,0,26621,23,531,68,52,0,5,15,12068,31,0,23,0,0,29,423,14,0,0,747,1,0,0,66094,144,0,0,0,5238,0,384,0,0,0,68,65,911,978,0,4493,10797,0,10,1290,8,376,0,19028,14,277,64,360,5,34,23,205,40,1112,0,258,2538,23,167,2,0,680,0,0,10,0,0,0,0,273,0,0,0,0,0,166,0,0,0,5017,0,68,0,433,1,0,8973,2,0,145,0,11,0,0,0,2514,409
Clean19,N,11,0,1078,67,0,0,32,0,267249,1614,3119,220,1472,0,13,286,36314,42,1,1592,0,1,142,1753,235,2,1,1804,24,9,0,399336,91,4,4,4,35269,0,1763,0,0,0,172,3348,11710,46282,0,24835,225021,96,30,8001,304,4479,0,33304,51,4124,6420,3177,27,10,1608,1345,1517,11386,0,3934,21399,24,1051,0,0,375,0,0,329,89,0,0,1,1806,0,0,0,0,0,431,0,0,0,13285,0,224,2,545,1,0,45956,266,0,710,4,72,0,0,1,13956,2776
Clean20,N,0,0,999,31,0,0,595,0,142590,517,1559,111,351,0,11,141,32125,32,0,502,0,0,16,397,23,0,0,2041,10,12,0,478186,14,4,4,4,21207,0,543,0,0,0,89,67,2634,4810,0,18799,174699,62,20,2783,350,1799,0,18092,15,1504,8321,1710,11,8,511,666,379,8110,0,775,28266,9,404,0,0,518,0,0,45,2,0,0,0,550,0,0,0,0,0,121,0,0,0,7022,0,112,2,81,2,0,19418,77,0,80,1,32,0,0,0,40043,378
Clean21,N,0,0,3425,269,0,0,93,0,1192402,1935,8764,1184,92,3,10,949,56816,47,4,1926,0,0,573,6253,350,0,1,7009,40,3,0,920501,85,0,0,0,58190,0,3088,0,0,1,955,6764,25992,118721,0,38631,88278,2,46,12956,628,7626,0,28189,172,7293,13323,8811,28,25,1923,2740,4472,30324,0,1933,12317,30,2421,0,0,259,0,0,997,86,0,0,0,2513,0,0,0,0,0,1231,0,0,0,13259,0,1220,0,1309,4,0,134395,420,0,2865,58,135,0,0,5,28842,8225
Clean22,N,0,0,1617,4,0,0,23,0,321922,2,2394,8,57,0,0,11,14848,19,0,0,0,0,847,6141,376,0,0,3197,23,0,0,457613,0,0,0,0,10543,0,244,0,0,0,8,5,344,32186,0,10106,193316,92,30,3028,0,2416,0,18415,61,1783,61,2270,0,0,2,1550,2082,48994,0,10212,54134,23,25,0,0,235,0,0,9,0,0,0,0,6,0,0,0,0,0,15,0,0,0,5591,0,8,0,1632,0,0,8916,0,0,4235,0,23,0,0,0,11714,6895
Clean23,N,0,0,413,33,0,0,9,0,328605,349,12429,74,8016,0,0,54,163569,45,0,335,0,0,116,1024,20,0,0,746,9,0,0,225141,36,0,0,0,122043,0,4776,0,0,0,73,117,1885,754947,0,120027,109592,86,9,3092,13,6800,0,17021,10,6295,1820,428,1,30,349,549,191,10823,0,174,10340,9,163,0,0,494,0,0,19,21,0,0,0,354,0,0,0,0,0,164,0,0,0,7582,0,91,0,291,0,0,9771,48,0,580,0,11,0,0,0,21136,921
Clean24,N,0,0,151,6,0,0,18,0,18851,45,320,12,74,0,1,22,4743,30,0,31,0,0,49,421,20,0,0,255,18,0,0,19760,12,2,2,2,3023,0,736,0,0,0,12,5,685,329175,0,2328,10800,56,18,1774,6,1808,0,7784,4,213,28,173,1,0,43,76784,63,913,0,173,4239,18,3,0,0,350,0,0,2,0,0,0,0,62,0,0,0,0,0,18,0,0,0,2281,0,12,1,178,0,0,3715,10,0,245,0,18,0,0,0,2711,527
Clean25,N,8,40,292,14,0,0,37,0,23294,29,371,57,29,0,0,148,5064,37,0,20,0,0,1,138,3,0,0,439,37,7,0,111633,20,0,0,0,2996,0,290,0,0,0,51,61,473,3717,0,2598,46109,32,37,459,12,379,0,9800,2,183,200,301,0,14,22,346,769,1692,0,182,1985,37,80,0,0,40,0,0,13,0,0,0,0,55,0,0,0,0,0,111,0,0,0,3062,0,57,0,448,0,0,5433,9,0,5,0,47,0,0,0,2968,15342
Clean26(ANS7_c),N,0,0,51,4,0,0,4,0,136905,89,137,16,76,0,0,18,84058,31,0,83,0,0,0,16,0,0,0,45,4,1,0,513906,0,0,0,0,45107,0,203,0,0,0,12,8,1951,131575,0,43179,406792,0,4,790,0,480,0,8448,8,395,915,44,0,0,79,122,49,12379,0,243,31847,4,275,0,0,288,0,0,15,0,0,0,0,83,0,0,0,0,0,16,0,0,0,2495,0,16,0,35,0,0,7032,23,0,0,0,4,0,0,0,12641,414
Clean27(dkf43_c),N,0,0,5,0,0,0,3,0,676277,26,45,0,13,0,0,2,201278,19,0,17,0,0,0,1,0,0,0,8,2,0,0,188017,0,0,0,0,117093,0,243,0,0,0,0,0,175,16795,0,116958,64158,0,2,1176,1,501,0,6718,18,387,180,20,0,0,26,347,0,37117,0,948,145659,1,13,0,0,124,0,0,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,7540,0,0,0,7,0,0,3183,3,0,0,0,1,0,0,0,41702,143
Clean28(DKF34_c),N,0,0,25,12,0,0,0,0,117235,79,99,41,15,0,0,49,63269,24,0,76,0,0,0,40,0,0,0,79,0,1,0,70228,0,0,0,0,41287,0,237,0,0,0,34,22,2564,189563,0,38819,13972,0,0,1415,0,431,0,7375,21,308,832,85,0,0,78,96,161,2917,0,196,4526,0,354,0,0,343,0,0,16,0,0,0,0,114,0,0,0,0,0,41,0,0,0,2085,0,41,0,24,0,0,12431,11,0,0,0,0,0,0,0,3908,472
Clean29(GD6_c),N,0,0,193,17,0,0,14,0,904627,96,468,56,101,0,7,117,675864,33,0,77,0,0,58,691,58,0,0,398,6,6,0,168186,2,4,4,4,367062,0,487,0,0,0,48,39,1071,7239,0,366035,69760,45,15,1019,53,1134,0,14819,6,858,910,530,11,0,78,504,400,152192,0,145,329012,5,147,0,0,185,0,0,45,4,0,0,0,99,0,0,0,0,0,72,0,2,0,4641,4,57,2,585,0,0,15186,3,4,290,0,20,0,0,0,153019,838
